fecha,ventas,clientes
2024-01-01,1200,45
2024-01-02,980,38
2024-01-03,1350,52
2024-01-04,1100,41
2024-01-05,1600,60
2024-01-06,1700,63
2024-01-07,900,34
2024-01-08,1250,47
2024-01-09,1400,55
2024-01-10,1500,58
2024-01-11,1150,43
2024-01-12,980,37
2024-01-13,1020,39
2024-01-14,1750,65
2024-01-15,1800,67
2024-01-16,1600,59
2024-01-17,1450,53
2024-01-18,1300,49
2024-01-19,900,33
2024-01-20,950,35
2024-01-21,1200,44
2024-01-22,1400,56
2024-01-23,1550,61
2024-01-24,1650,63
2024-01-25,1700,64
2024-01-26,1750,66
2024-01-27,1800,68
2024-01-28,1100,42
2024-01-29,1000,40
2024-01-30,950,36
2024-01-31,1450,54
2024-02-01,1500,57
2024-02-02,1600,60
2024-02-03,1700,63
2024-02-04,1750,65
2024-02-05,1800,67
2024-02-06,1850,69
2024-02-07,1900,70
2024-02-08,1950,72
2024-02-09,2000,74
2024-02-10,2100,78
2024-02-11,2200,82
2024-02-12,2300,85
2024-02-13,2400,88
2024-02-14,2500,92
2024-02-15,2600,95
2024-02-16,2700,98
2024-02-17,2800,100
2024-02-18,2900,103
2024-02-19,3000,105
2024-02-20,3100,108
2024-02-21,3200,110
2024-02-22,3300,112
2024-02-23,3400,115
2024-02-24,3500,118
2024-02-25,3600,120
2024-02-26,3700,123
2024-02-27,3800,125
2024-02-28,3900,128
2024-02-29,4000,130
2024-03-01,4100,133
2024-03-02,4200,135
2024-03-03,4300,138
2024-03-04,4400,140
2024-03-05,4500,143
2024-03-06,4600,145
2024-03-07,4700,148
2024-03-08,4800,150
2024-03-09,4900,153
2024-03-10,5000,155
2024-03-11,5100,158
2024-03-12,5200,160
2024-03-13,5300,163
2024-03-14,5400,165
2024-03-15,5500,168
2024-03-16,5600,170
2024-03-17,5700,173
2024-03-18,5800,175
2024-03-19,5900,178
2024-03-20,6000,180
2024-03-21,6100,183
2024-03-22,6200,185
2024-03-23,6300,188
2024-03-24,6400,190
2024-03-25,6500,193
2024-03-26,6600,195
2024-03-27,6700,198
2024-03-28,6800,200
2024-03-29,6900,203
2024-03-30,7000,205
2024-03-31,7100,208
